Game_name,Upcoming,Ongoing,Completed
Dota 2,"Moscow Championship 2025, APPL Malaysia, APPL Indonesia, BLAST Slam V CN CQ, CCT S2 SA Series 1, ","Kobold League II: Sweat Division, Impacto Solar 4, Lunar Snake 3, ACS 2, LFL Streamer Mix, ","RES Unchained 2 BLAST EU OQ2, RES Unchained 2 BLAST SEA OQ2, RES Unchained 2 BLAST EU OQ1, RES Unchained 2 BLAST SEA OQ1, PGL Wallachia S6 CN CQ, "
Counter-Strike,"eXTREMESLAND 2025, ESL Impact League Season 8, SL Budapest Major 2025, BLAST Rivals Fall 2025, CCT SA Series #6, ","Virslīga Season 5, Esporto A Lyga Season 2, Meistriliiga Season 3, DACH CS Masters S4: Div. 2, DACH CS Masters S4: Div. 3, ","Female Pro League S1 OQ #1, Winline Insight Season 8, CCT NA Series #2, Betera Esports League Qual, Alliance Streamers Cup, "
VALORANT,"Monsters: Turkish Qual., Predator League Singapore, Predator League Philippines, Predator League Thailand, Monsters: Turkish OQ #4, ","Denmark League Autumn, National Women's League - Fall, VCT GC: EMEA S3, Luxe Series Season 2, CT Italy - Lucca Comics, ","PV Pro Series Weekly #7, PV Weekly #32, Celerity Budokan, SwitzerLAN 2025, Kirihana AC Cup, "
Mobile Legends,"IESF WEC 2025, Light of Dawn - S3, LEN - Liga 1, MEC '25 Fall - RP, ","MPL KH Season 9, MLBB Super League S2, MCC S6, MPL MY Season 16, CN Masters 2025, ","MEC '25 Fall - TD, MEC '25 Fall - R4, IESF '25 - Americas: Women Qualifier, Conqueror of Dawn Season 2, IESF '25 - Americas Qualifier, "
League of Legends,"CBLOL Split 1, Circuito Desafiante Split 1, LCP Season Kickoff, LCS Split 1, LEC Winter, ","LTK Trials of Twilight, Svenska Onlineligan Autumn, PRM 3. Liga Fall, Norwegian Esports Series S2, TEC Season 4, ","LTA South 2026 Promotion, NLC Regional Promotion Series, ACL 2025 Summer, Celerity Budokan 2025, LCP 2026 Promotion, "
Rocket League,"FeWC 25 - Africa Regionals, FeWC 25 - Europe Regionals, Predator Solo Cup - North Finals, FeWC 25 - North and Central America Regionals, FeWC 25 - SAM Regionals, ","NRLS - Season 2, Ontario Campus Carball 2025-26 Fall Season - Local, Ontario Campus Carball 2025-26 Fall Season - Premier, Ontario Campus Carball 2025-26 Fall Season - Regional, Hungarian Open 2025 Fall, ","El Potrero #1, CRL Fall 25 - Open1, Double Commit - Genesis Cup 12, Frost Esports - Frostbite 63, Feer: Joyo vs Abdullah, "
Apex Legends,"ALGS: LCQ - APAC-N, ALGS: LCQ - APAC-S, ALGS: LCQ - Americas, ALGS: LCQ - EMEA, ","ALGS: APAC North PL Split 2 2025, ALGS: Americas PL Split 2 2025, ALGS: EMEA PL Split 2 2025, ALGS: APAC South PL Split 2 2025, ","ALGS: S2 CC #4 - APAC-N, ALGS: S2 CC #4 - Americas, ALGS: S2 CC #4 - EMEA, ALGS: S2 CC #4 - APAC-S, ALGS: S2 CC #3 - APAC-N, "
Overwatch,"OWCS World Finals, FACEIT League: Masters Showdown, Copa América de Overwatch NA, OWCS Korea Road to World Finals, OWCS Japan vs Pacific Road to World Finals, ","Homecoming Fall 2025 Open, Homecoming Fall 2025 Varsity, OWAndromeda S2 IBERIA, OWCS EMEA Stage 3, OWCS NA Stage 3, ","Nittany Invitational Playoffs, SwitzerLAN 2025, OWCS Asia Japan Stage 3, FACEIT League S6 EMEA Master, FACEIT League S6 NA Master, "
PUBG Mobile,"SEL 2025 Champ., PMCC NA Fall 2025, BMIC 2025, PMAC 2025, IESF WEC 2025: AM Qual., ","UPG MOBILE CUP, PEN 2025, PMSL MENA Fall 2025, PMSL CSA Fall 2025, PMCC ID 2025, ","Japan League S5: P2, PMCL SEA Fall 2025, PMNC TR Fall 2025, PMSL SEA Fall 2025, PMPS 2025 S2, "
Rainbow Six,"BLAST R6 Major Munich 2025, Axis Series - Season 3, EON Series - Season 5, EON Series - S5: Q4, Spoit CS '25 EU CQ, ","ELC Fall '25 - Championship, CCL Season 3, Talent EMEA 2025, WCL S1, Titan Hand League S1, ","OCS S7 Contenders, Nittany Invitational, Talent EMEA 2025 - Q3, Axis Series - Season 2, ELEMENT SIX - Qual 2, "
